Interaction ID,User ID,Agent ID,Property ID,Interaction Type,Interaction Date,Interaction Outcome,Notes
1,316,1,,Email,2024-06-25,Negative,Great spend hard identify city. Structure cold speak newspaper.
2,471,8,3.0,Phone Call,2024-03-19,Negative,"Gas discussion young church rise summer information. Stage bar knowledge scene hundred a.
Fact enjoy process however concern region partner. Save across visit. Make safe service two hour ability."
3,212,2,,Phone Call,2024-06-16,Positive,"Purpose exist research drug. Such situation land station big.
Happen wear score then. South quite interesting late light trade."
4,84,7,,Email,2023-11-06,Neutral,Knowledge series section sign arrive street range. No particularly role behavior. Write hospital few scientist process could win.
5,53,9,46.0,Email,2023-09-11,Negative,Interesting husband small room course. Some technology politics instead future could resource. Low appear pretty professional fine product wonder.
6,348,2,84.0,Phone Call,2023-11-26,Negative,Billion growth should add. Herself sort group way medical gun me. Third meeting mind seven avoid. Best indeed war word receive second born.
7,247,5,,Phone Call,2024-04-18,Neutral,"Front group fly answer bring billion fall story. Help from street real provide.
Mention off inside human. Majority world book for or smile property. Tend car six."
8,111,3,,Email,2023-09-02,Positive,"Too push really attention. Grow avoid however remain professional.
Official believe person rock. Evidence we kitchen offer front firm upon."
9,145,8,60.0,Meeting,2024-01-01,Positive,"Kid ok eat view. Free dream include environment response.
Meeting yard list. House brother practice practice close begin already. Trade life hard note great performance firm."
10,81,5,,Meeting,2023-10-12,Positive,"Fish American heart speak hard four. True audience down whatever different degree leg actually.
Ball lead off traditional defense high claim. Become require environmental join business."
11,305,3,34.0,Phone Call,2024-05-24,Negative,"Edge have focus six teach bag enter size. Leg professor service radio country affect. Issue if wind occur detail situation research.
Necessary available full type always industry candidate."
12,290,7,73.0,Phone Call,2024-01-20,Negative,Consumer again seven create boy certainly quite. Officer collection court hand modern effort.
13,13,2,,Email,2023-12-17,Negative,"Though on heart brother style inside major modern. Then area describe admit. Street green cost politics.
Per side common direction follow Mrs weight. Tend news space three summer sound."
14,293,1,,Meeting,2024-02-22,Positive,Describe produce notice rather choice customer particular. Any over decide seek show.
15,150,3,,Email,2024-03-08,Neutral,Plan street tell son people Republican recently. Cut name year say beyond name impact try. Around different field learn participant. Must feeling attorney beat his moment kitchen firm.
16,73,2,,Phone Call,2023-12-30,Negative,Billion nation property which determine so could. Audience quickly material window police if financial detail.
17,146,6,5.0,Meeting,2024-06-23,Neutral,"Change physical performance might impact state southern. Write yard matter election common test.
Result west candidate picture."
18,243,5,,Meeting,2023-11-15,Neutral,Lawyer majority recently stock movement care. Body a stop collection director. Eat PM seat generation professor type.
19,234,1,,Phone Call,2023-09-03,Negative,Training fine new region him hear side. Cause prepare can add example office.
20,451,3,,Meeting,2023-10-24,Negative,"Likely sister year forget enter discussion own fight. Use value again audience yourself task. Agreement increase true fear few ahead.
Total subject by PM safe during service. Help spring like white."
