event_id,session_id,user_id,property_id,event_type,event_timestamp,session_duration,referral_source,device_type,browser,operating_system
1000,1,434,27.0,Property View,2024-08-11 00:54:41,204,Email Campaign,Desktop,Firefox,macOS
2000,2,401,,Page View,2024-08-12 06:13:35,34,Referral,Desktop,Safari,Windows
2001,2,401,36.0,Property View,2024-08-12 06:14:09,410,Referral,Desktop,Safari,Windows
2002,2,401,19.0,Property View,2024-08-12 06:20:25,586,Referral,Desktop,Safari,Windows
2003,2,401,39.0,Inquiry Submission,2024-08-12 06:23:21,920,Referral,Desktop,Safari,Windows
2004,2,401,89.0,Click,2024-08-12 06:28:55,1354,Referral,Desktop,Safari,Windows
2005,2,401,78.0,Inquiry Submission,2024-08-12 06:36:09,1516,Referral,Desktop,Safari,Windows
2006,2,401,90.0,Property View,2024-08-12 06:38:51,1613,Referral,Desktop,Safari,Windows
2007,2,401,10.0,Inquiry Submission,2024-08-12 06:40:28,2197,Referral,Desktop,Safari,Windows
3000,3,96,,Page View,2024-08-08 09:40:21,493,Social Media,Desktop,Safari,iOS
3001,3,96,12.0,Property View,2024-08-08 09:48:34,908,Social Media,Desktop,Safari,iOS
3002,3,96,,Page View,2024-08-08 09:55:29,1131,Social Media,Desktop,Safari,iOS
3003,3,96,33.0,Click,2024-08-08 09:59:12,1361,Social Media,Desktop,Safari,iOS
3004,3,96,96.0,Property View,2024-08-08 10:03:02,1933,Social Media,Desktop,Safari,iOS
4000,4,475,87.0,Inquiry Submission,2024-08-21 03:56:56,537,Referral,Desktop,Safari,Windows
4001,4,475,29.0,Property View,2024-08-21 04:05:53,736,Referral,Desktop,Safari,Windows
4002,4,475,81.0,Inquiry Submission,2024-08-21 04:09:12,1256,Referral,Desktop,Safari,Windows
4003,4,475,90.0,Property View,2024-08-21 04:17:52,1671,Referral,Desktop,Safari,Windows
4004,4,475,,Page View,2024-08-21 04:24:47,1963,Referral,Desktop,Safari,Windows
4005,4,475,91.0,Inquiry Submission,2024-08-21 04:29:39,2164,Referral,Desktop,Safari,Windows
4006,4,475,,Page View,2024-08-21 04:33:00,2349,Referral,Desktop,Safari,Windows
4007,4,475,51.0,Property View,2024-08-21 04:36:05,2663,Referral,Desktop,Safari,Windows
4008,4,475,94.0,Inquiry Submission,2024-08-21 04:41:19,2946,Referral,Desktop,Safari,Windows
5000,5,307,42.0,Click,2024-07-25 21:05:40,236,Referral,Mobile,Chrome,macOS
5001,5,307,54.0,Property View,2024-07-25 21:09:36,426,Referral,Mobile,Chrome,macOS
6000,6,192,74.0,Inquiry Submission,2024-08-08 03:17:48,510,Referral,Mobile,Edge,Android
6001,6,192,,Page View,2024-08-08 03:26:18,816,Referral,Mobile,Edge,Android
6002,6,192,91.0,Property View,2024-08-08 03:31:24,1161,Referral,Mobile,Edge,Android
6003,6,192,,Page View,2024-08-08 03:37:09,1585,Referral,Mobile,Edge,Android
7000,7,78,,Page View,2024-08-21 11:02:57,370,Email Campaign,Mobile,Safari,Android
7001,7,78,17.0,Inquiry Submission,2024-08-21 11:09:07,566,Email Campaign,Mobile,Safari,Android
7002,7,78,97.0,Inquiry Submission,2024-08-21 11:12:23,901,Email Campaign,Mobile,Safari,Android
8000,8,36,96.0,Property View,2024-08-05 09:41:33,544,Organic Search,Tablet,Safari,Windows
8001,8,36,,Page View,2024-08-05 09:50:37,679,Organic Search,Tablet,Safari,Windows
8002,8,36,,Page View,2024-08-05 09:52:52,818,Organic Search,Tablet,Safari,Windows
8003,8,36,,Page View,2024-08-05 09:55:11,882,Organic Search,Tablet,Safari,Windows
8004,8,36,43.0,Inquiry Submission,2024-08-05 09:56:15,1073,Organic Search,Tablet,Safari,Windows
9000,9,127,35.0,Property View,2024-08-20 04:56:35,60,Email Campaign,Tablet,Edge,iOS
9001,9,127,49.0,Property View,2024-08-20 04:57:35,507,Email Campaign,Tablet,Edge,iOS
9002,9,127,,Page View,2024-08-20 05:05:02,717,Email Campaign,Tablet,Edge,iOS
9003,9,127,73.0,Inquiry Submission,2024-08-20 05:08:32,1160,Email Campaign,Tablet,Edge,iOS
9004,9,127,51.0,Inquiry Submission,2024-08-20 05:15:55,1208,Email Campaign,Tablet,Edge,iOS
9005,9,127,36.0,Click,2024-08-20 05:16:43,1324,Email Campaign,Tablet,Edge,iOS
9006,9,127,87.0,Property View,2024-08-20 05:18:39,1916,Email Campaign,Tablet,Edge,iOS
10000,10,473,89.0,Property View,2024-08-10 18:51:40,126,Direct,Tablet,Safari,macOS
10001,10,473,11.0,Property View,2024-08-10 18:53:46,456,Direct,Tablet,Safari,macOS
10002,10,473,3.0,Property View,2024-08-10 18:59:16,995,Direct,Tablet,Safari,macOS
10003,10,473,28.0,Property View,2024-08-10 19:08:15,1336,Direct,Tablet,Safari,macOS
10004,10,473,,Page View,2024-08-10 19:13:56,1436,Direct,Tablet,Safari,macOS
10005,10,473,,Page View,2024-08-10 19:15:36,1477,Direct,Tablet,Safari,macOS
10006,10,473,13.0,Inquiry Submission,2024-08-10 19:16:17,1653,Direct,Tablet,Safari,macOS
10007,10,473,6.0,Property View,2024-08-10 19:19:13,1700,Direct,Tablet,Safari,macOS
10008,10,473,65.0,Click,2024-08-10 19:20:00,2232,Direct,Tablet,Safari,macOS
11000,11,404,35.0,Inquiry Submission,2024-08-09 19:34:59,126,Referral,Mobile,Safari,macOS
12000,12,16,67.0,Click,2024-08-14 08:24:16,592,Organic Search,Desktop,Chrome,Android
12001,12,16,28.0,Property View,2024-08-14 08:34:08,728,Organic Search,Desktop,Chrome,Android
12002,12,16,2.0,Click,2024-08-14 08:36:24,1305,Organic Search,Desktop,Chrome,Android
12003,12,16,10.0,Inquiry Submission,2024-08-14 08:46:01,1478,Organic Search,Desktop,Chrome,Android
13000,13,139,,Page View,2024-08-16 02:24:49,550,Organic Search,Desktop,Safari,Windows
14000,14,27,,Page View,2024-08-17 13:25:38,280,Direct,Desktop,Edge,Android
15000,15,372,,Page View,2024-08-18 20:47:49,142,Direct,Mobile,Chrome,iOS
15001,15,372,94.0,Property View,2024-08-18 20:50:11,249,Direct,Mobile,Chrome,iOS
15002,15,372,,Page View,2024-08-18 20:51:58,291,Direct,Mobile,Chrome,iOS
15003,15,372,2.0,Inquiry Submission,2024-08-18 20:52:40,740,Direct,Mobile,Chrome,iOS
15004,15,372,4.0,Inquiry Submission,2024-08-18 21:00:09,940,Direct,Mobile,Chrome,iOS
15005,15,372,22.0,Click,2024-08-18 21:03:29,990,Direct,Mobile,Chrome,iOS
15006,15,372,17.0,Click,2024-08-18 21:04:19,1097,Direct,Mobile,Chrome,iOS
15007,15,372,100.0,Property View,2024-08-18 21:06:06,1586,Direct,Mobile,Chrome,iOS
15008,15,372,73.0,Click,2024-08-18 21:14:15,2139,Direct,Mobile,Chrome,iOS
16000,16,378,56.0,Click,2024-07-30 00:37:51,295,Direct,Tablet,Edge,Windows
17000,17,84,,Page View,2024-08-14 23:57:33,194,Email Campaign,Tablet,Safari,macOS
18000,18,494,87.0,Click,2024-08-02 16:49:17,490,Organic Search,Mobile,Firefox,macOS
19000,19,268,28.0,Click,2024-07-23 08:07:17,332,Organic Search,Tablet,Edge,macOS
19001,19,268,21.0,Property View,2024-07-23 08:12:49,645,Organic Search,Tablet,Edge,macOS
19002,19,268,,Page View,2024-07-23 08:18:02,736,Organic Search,Tablet,Edge,macOS
19003,19,268,,Page View,2024-07-23 08:19:33,1306,Organic Search,Tablet,Edge,macOS
19004,19,268,,Page View,2024-07-23 08:29:03,1523,Organic Search,Tablet,Edge,macOS
20000,20,42,37.0,Property View,2024-08-19 16:24:55,67,Social Media,Tablet,Chrome,iOS
20001,20,42,95.0,Property View,2024-08-19 16:26:02,239,Social Media,Tablet,Chrome,iOS
20002,20,42,51.0,Inquiry Submission,2024-08-19 16:28:54,288,Social Media,Tablet,Chrome,iOS
20003,20,42,45.0,Property View,2024-08-19 16:29:43,555,Social Media,Tablet,Chrome,iOS
20004,20,42,54.0,Inquiry Submission,2024-08-19 16:34:10,781,Social Media,Tablet,Chrome,iOS
20005,20,42,,Page View,2024-08-19 16:37:56,1233,Social Media,Tablet,Chrome,iOS
20006,20,42,,Page View,2024-08-19 16:45:28,1382,Social Media,Tablet,Chrome,iOS
20007,20,42,,Page View,2024-08-19 16:47:57,1443,Social Media,Tablet,Chrome,iOS
20008,20,42,,Page View,2024-08-19 16:48:58,1602,Social Media,Tablet,Chrome,iOS
21000,21,87,10.0,Property View,2024-07-26 14:02:19,522,Organic Search,Tablet,Safari,Windows
21001,21,87,,Page View,2024-07-26 14:11:01,889,Organic Search,Tablet,Safari,Windows
21002,21,87,,Page View,2024-07-26 14:17:08,1432,Organic Search,Tablet,Safari,Windows
21003,21,87,28.0,Inquiry Submission,2024-07-26 14:26:11,1550,Organic Search,Tablet,Safari,Windows
21004,21,87,49.0,Click,2024-07-26 14:28:09,1601,Organic Search,Tablet,Safari,Windows
21005,21,87,59.0,Click,2024-07-26 14:29:00,2005,Organic Search,Tablet,Safari,Windows
21006,21,87,90.0,Property View,2024-07-26 14:35:44,2295,Organic Search,Tablet,Safari,Windows
21007,21,87,,Page View,2024-07-26 14:40:34,2745,Organic Search,Tablet,Safari,Windows
21008,21,87,68.0,Inquiry Submission,2024-07-26 14:48:04,3144,Organic Search,Tablet,Safari,Windows
22000,22,124,,Page View,2024-08-02 19:24:47,248,Direct,Tablet,Safari,Windows
22001,22,124,51.0,Click,2024-08-02 19:28:55,571,Direct,Tablet,Safari,Windows
22002,22,124,,Page View,2024-08-02 19:34:18,617,Direct,Tablet,Safari,Windows
22003,22,124,,Page View,2024-08-02 19:35:04,903,Direct,Tablet,Safari,Windows
22004,22,124,36.0,Inquiry Submission,2024-08-02 19:39:50,1498,Direct,Tablet,Safari,Windows
23000,23,120,65.0,Inquiry Submission,2024-07-28 05:31:43,471,Direct,Tablet,Chrome,Android
23001,23,120,,Page View,2024-07-28 05:39:34,952,Direct,Tablet,Chrome,Android
23002,23,120,,Page View,2024-07-28 05:47:35,1539,Direct,Tablet,Chrome,Android
23003,23,120,5.0,Inquiry Submission,2024-07-28 05:57:22,1596,Direct,Tablet,Chrome,Android
23004,23,120,5.0,Inquiry Submission,2024-07-28 05:58:19,1780,Direct,Tablet,Chrome,Android
23005,23,120,30.0,Inquiry Submission,2024-07-28 06:01:23,2265,Direct,Tablet,Chrome,Android
23006,23,120,15.0,Inquiry Submission,2024-07-28 06:09:28,2664,Direct,Tablet,Chrome,Android
24000,24,386,8.0,Property View,2024-07-29 05:48:01,260,Social Media,Tablet,Chrome,Windows
24001,24,386,,Page View,2024-07-29 05:52:21,583,Social Media,Tablet,Chrome,Windows
24002,24,386,14.0,Property View,2024-07-29 05:57:44,883,Social Media,Tablet,Chrome,Windows
24003,24,386,51.0,Inquiry Submission,2024-07-29 06:02:44,1422,Social Media,Tablet,Chrome,Windows
25000,25,463,,Page View,2024-08-06 00:07:42,93,Direct,Desktop,Edge,Android
25001,25,463,19.0,Click,2024-08-06 00:09:15,475,Direct,Desktop,Edge,Android
26000,26,322,98.0,Inquiry Submission,2024-08-19 22:47:43,149,Social Media,Desktop,Firefox,Android
27000,27,476,96.0,Click,2024-08-01 19:35:58,370,Email Campaign,Tablet,Chrome,iOS
27001,27,476,96.0,Property View,2024-08-01 19:42:08,790,Email Campaign,Tablet,Chrome,iOS
27002,27,476,71.0,Property View,2024-08-01 19:49:08,1123,Email Campaign,Tablet,Chrome,iOS
27003,27,476,27.0,Property View,2024-08-01 19:54:41,1550,Email Campaign,Tablet,Chrome,iOS
27004,27,476,61.0,Property View,2024-08-01 20:01:48,1686,Email Campaign,Tablet,Chrome,iOS
27005,27,476,,Page View,2024-08-01 20:04:04,1993,Email Campaign,Tablet,Chrome,iOS
27006,27,476,,Page View,2024-08-01 20:09:11,2237,Email Campaign,Tablet,Chrome,iOS
28000,28,482,,Page View,2024-08-10 19:18:14,563,Organic Search,Desktop,Safari,Windows
28001,28,482,53.0,Inquiry Submission,2024-08-10 19:27:37,883,Organic Search,Desktop,Safari,Windows
28002,28,482,,Page View,2024-08-10 19:32:57,1420,Organic Search,Desktop,Safari,Windows
28003,28,482,,Page View,2024-08-10 19:41:54,1464,Organic Search,Desktop,Safari,Windows
28004,28,482,50.0,Inquiry Submission,2024-08-10 19:42:38,1635,Organic Search,Desktop,Safari,Windows
28005,28,482,,Page View,2024-08-10 19:45:29,1720,Organic Search,Desktop,Safari,Windows
28006,28,482,57.0,Property View,2024-08-10 19:46:54,2303,Organic Search,Desktop,Safari,Windows
28007,28,482,,Page View,2024-08-10 19:56:37,2503,Organic Search,Desktop,Safari,Windows
28008,28,482,85.0,Inquiry Submission,2024-08-10 19:59:57,2889,Organic Search,Desktop,Safari,Windows
28009,28,482,83.0,Click,2024-08-10 20:06:23,3382,Organic Search,Desktop,Safari,Windows
29000,29,376,17.0,Click,2024-08-14 06:18:12,504,Social Media,Mobile,Edge,macOS
29001,29,376,,Page View,2024-08-14 06:26:36,768,Social Media,Mobile,Edge,macOS
29002,29,376,74.0,Property View,2024-08-14 06:31:00,1020,Social Media,Mobile,Edge,macOS
29003,29,376,,Page View,2024-08-14 06:35:12,1602,Social Media,Mobile,Edge,macOS
29004,29,376,31.0,Click,2024-08-14 06:44:54,2014,Social Media,Mobile,Edge,macOS
29005,29,376,42.0,Click,2024-08-14 06:51:46,2103,Social Media,Mobile,Edge,macOS
29006,29,376,88.0,Property View,2024-08-14 06:53:15,2670,Social Media,Mobile,Edge,macOS
29007,29,376,16.0,Property View,2024-08-14 07:02:42,3263,Social Media,Mobile,Edge,macOS
30000,30,141,,Page View,2024-07-29 17:55:58,35,Social Media,Mobile,Safari,iOS
30001,30,141,,Page View,2024-07-29 17:56:33,448,Social Media,Mobile,Safari,iOS
30002,30,141,100.0,Click,2024-07-29 18:03:26,1008,Social Media,Mobile,Safari,iOS
31000,31,252,90.0,Property View,2024-08-12 22:56:05,194,Social Media,Tablet,Edge,Android
31001,31,252,20.0,Inquiry Submission,2024-08-12 22:59:19,651,Social Media,Tablet,Edge,Android
31002,31,252,73.0,Click,2024-08-12 23:06:56,1193,Social Media,Tablet,Edge,Android
31003,31,252,70.0,Property View,2024-08-12 23:15:58,1460,Social Media,Tablet,Edge,Android
31004,31,252,,Page View,2024-08-12 23:20:25,1813,Social Media,Tablet,Edge,Android
31005,31,252,,Page View,2024-08-12 23:26:18,2095,Social Media,Tablet,Edge,Android
31006,31,252,89.0,Click,2024-08-12 23:31:00,2397,Social Media,Tablet,Edge,Android
32000,32,465,,Page View,2024-08-16 01:42:17,141,Referral,Desktop,Edge,macOS
32001,32,465,50.0,Click,2024-08-16 01:44:38,353,Referral,Desktop,Edge,macOS
32002,32,465,23.0,Click,2024-08-16 01:48:10,550,Referral,Desktop,Edge,macOS
32003,32,465,64.0,Property View,2024-08-16 01:51:27,1002,Referral,Desktop,Edge,macOS
32004,32,465,,Page View,2024-08-16 01:58:59,1189,Referral,Desktop,Edge,macOS
32005,32,465,64.0,Click,2024-08-16 02:02:06,1734,Referral,Desktop,Edge,macOS
32006,32,465,70.0,Property View,2024-08-16 02:11:11,1927,Referral,Desktop,Edge,macOS
32007,32,465,13.0,Property View,2024-08-16 02:14:24,2374,Referral,Desktop,Edge,macOS
32008,32,465,55.0,Property View,2024-08-16 02:21:51,2519,Referral,Desktop,Edge,macOS
33000,33,395,59.0,Inquiry Submission,2024-08-11 09:40:15,394,Email Campaign,Tablet,Firefox,Windows
33001,33,395,80.0,Click,2024-08-11 09:46:49,424,Email Campaign,Tablet,Firefox,Windows
34000,34,354,,Page View,2024-08-05 05:24:21,539,Email Campaign,Desktop,Chrome,iOS
34001,34,354,38.0,Property View,2024-08-05 05:33:20,876,Email Campaign,Desktop,Chrome,iOS
35000,35,136,78.0,Inquiry Submission,2024-08-06 09:34:00,410,Social Media,Desktop,Firefox,Windows
36000,36,452,27.0,Click,2024-08-08 13:18:37,554,Referral,Mobile,Firefox,macOS
36001,36,452,27.0,Click,2024-08-08 13:27:51,684,Referral,Mobile,Firefox,macOS
36002,36,452,90.0,Property View,2024-08-08 13:30:01,1131,Referral,Mobile,Firefox,macOS
36003,36,452,50.0,Click,2024-08-08 13:37:28,1438,Referral,Mobile,Firefox,macOS
36004,36,452,82.0,Click,2024-08-08 13:42:35,1518,Referral,Mobile,Firefox,macOS
36005,36,452,20.0,Property View,2024-08-08 13:43:55,1951,Referral,Mobile,Firefox,macOS
36006,36,452,10.0,Click,2024-08-08 13:51:08,2064,Referral,Mobile,Firefox,macOS
37000,37,378,,Page View,2024-08-01 02:45:37,86,Direct,Desktop,Chrome,macOS
37001,37,378,72.0,Click,2024-08-01 02:47:03,388,Direct,Desktop,Chrome,macOS
37002,37,378,52.0,Inquiry Submission,2024-08-01 02:52:05,743,Direct,Desktop,Chrome,macOS
37003,37,378,,Page View,2024-08-01 02:58:00,868,Direct,Desktop,Chrome,macOS
37004,37,378,,Page View,2024-08-01 03:00:05,1326,Direct,Desktop,Chrome,macOS
37005,37,378,,Page View,2024-08-01 03:07:43,1505,Direct,Desktop,Chrome,macOS
37006,37,378,,Page View,2024-08-01 03:10:42,1862,Direct,Desktop,Chrome,macOS
37007,37,378,,Page View,2024-08-01 03:16:39,2194,Direct,Desktop,Chrome,macOS
37008,37,378,44.0,Inquiry Submission,2024-08-01 03:22:11,2306,Direct,Desktop,Chrome,macOS
37009,37,378,,Page View,2024-08-01 03:24:03,2885,Direct,Desktop,Chrome,macOS
38000,38,421,83.0,Click,2024-08-11 08:25:18,158,Email Campaign,Mobile,Chrome,Android
38001,38,421,21.0,Property View,2024-08-11 08:27:56,264,Email Campaign,Mobile,Chrome,Android
38002,38,421,82.0,Inquiry Submission,2024-08-11 08:29:42,351,Email Campaign,Mobile,Chrome,Android
38003,38,421,93.0,Property View,2024-08-11 08:31:09,583,Email Campaign,Mobile,Chrome,Android
38004,38,421,71.0,Click,2024-08-11 08:35:01,743,Email Campaign,Mobile,Chrome,Android
38005,38,421,18.0,Property View,2024-08-11 08:37:41,1012,Email Campaign,Mobile,Chrome,Android
38006,38,421,6.0,Inquiry Submission,2024-08-11 08:42:10,1270,Email Campaign,Mobile,Chrome,Android
38007,38,421,31.0,Property View,2024-08-11 08:46:28,1589,Email Campaign,Mobile,Chrome,Android
38008,38,421,,Page View,2024-08-11 08:51:47,1786,Email Campaign,Mobile,Chrome,Android
39000,39,300,15.0,Inquiry Submission,2024-07-22 14:28:13,283,Social Media,Desktop,Firefox,Windows
39001,39,300,,Page View,2024-07-22 14:32:56,848,Social Media,Desktop,Firefox,Windows
39002,39,300,,Page View,2024-07-22 14:42:21,1187,Social Media,Desktop,Firefox,Windows
39003,39,300,14.0,Click,2024-07-22 14:48:00,1249,Social Media,Desktop,Firefox,Windows
39004,39,300,41.0,Click,2024-07-22 14:49:02,1293,Social Media,Desktop,Firefox,Windows
39005,39,300,,Page View,2024-07-22 14:49:46,1570,Social Media,Desktop,Firefox,Windows
39006,39,300,70.0,Click,2024-07-22 14:54:23,1634,Social Media,Desktop,Firefox,Windows
39007,39,300,26.0,Inquiry Submission,2024-07-22 14:55:27,1839,Social Media,Desktop,Firefox,Windows
39008,39,300,97.0,Click,2024-07-22 14:58:52,2246,Social Media,Desktop,Firefox,Windows
39009,39,300,42.0,Click,2024-07-22 15:05:39,2295,Social Media,Desktop,Firefox,Windows
40000,40,342,96.0,Inquiry Submission,2024-08-11 09:22:27,67,Social Media,Desktop,Safari,iOS
40001,40,342,17.0,Property View,2024-08-11 09:23:34,105,Social Media,Desktop,Safari,iOS
40002,40,342,94.0,Property View,2024-08-11 09:24:12,592,Social Media,Desktop,Safari,iOS
40003,40,342,16.0,Click,2024-08-11 09:32:19,698,Social Media,Desktop,Safari,iOS
40004,40,342,26.0,Property View,2024-08-11 09:34:05,1049,Social Media,Desktop,Safari,iOS
40005,40,342,86.0,Property View,2024-08-11 09:39:56,1341,Social Media,Desktop,Safari,iOS
41000,41,404,44.0,Inquiry Submission,2024-08-02 16:23:26,540,Referral,Tablet,Chrome,macOS
42000,42,35,75.0,Inquiry Submission,2024-07-23 02:17:25,303,Direct,Desktop,Chrome,Android
43000,43,272,32.0,Click,2024-08-05 00:34:03,552,Referral,Mobile,Firefox,Android
43001,43,272,49.0,Property View,2024-08-05 00:43:15,821,Referral,Mobile,Firefox,Android
43002,43,272,81.0,Property View,2024-08-05 00:47:44,863,Referral,Mobile,Firefox,Android
43003,43,272,65.0,Click,2024-08-05 00:48:26,1007,Referral,Mobile,Firefox,Android
43004,43,272,,Page View,2024-08-05 00:50:50,1257,Referral,Mobile,Firefox,Android
43005,43,272,,Page View,2024-08-05 00:55:00,1532,Referral,Mobile,Firefox,Android
43006,43,272,21.0,Property View,2024-08-05 00:59:35,1877,Referral,Mobile,Firefox,Android
43007,43,272,76.0,Click,2024-08-05 01:05:20,2129,Referral,Mobile,Firefox,Android
43008,43,272,83.0,Inquiry Submission,2024-08-05 01:09:32,2445,Referral,Mobile,Firefox,Android
43009,43,272,79.0,Property View,2024-08-05 01:14:48,2498,Referral,Mobile,Firefox,Android
44000,44,400,25.0,Click,2024-08-06 17:22:21,98,Social Media,Desktop,Edge,macOS
44001,44,400,62.0,Inquiry Submission,2024-08-06 17:23:59,352,Social Media,Desktop,Edge,macOS
44002,44,400,,Page View,2024-08-06 17:28:13,530,Social Media,Desktop,Edge,macOS
