user_id,property_id,timestamp,duration
U006,P016,2024-07-25 16:31:48.270612,55
U019,P006,2024-07-27 16:31:48.270612,6
U017,P014,2024-07-22 16:31:48.270612,107
U005,P005,2024-07-31 16:31:48.270612,60
U018,P002,2024-07-25 16:31:48.270612,41
U017,P019,2024-07-21 16:31:48.270612,49
U013,P017,2024-07-24 16:31:48.270612,26
U005,P016,2024-07-16 16:31:48.270612,1
U013,P020,2024-07-15 16:31:48.270612,18
U020,P012,2024-08-10 16:31:48.270612,92
U015,P015,2024-07-17 16:31:48.270612,109
U010,P013,2024-07-18 16:31:48.270612,103
U009,P010,2024-08-08 16:31:48.270612,57
U008,P020,2024-07-26 16:31:48.270612,25
U005,P013,2024-08-11 16:31:48.270612,56
U014,P010,2024-07-30 16:31:48.270612,24
U006,P001,2024-08-06 16:31:48.270612,118
U020,P016,2024-08-05 16:31:48.270612,34
U014,P002,2024-08-09 16:31:48.270612,18
U011,P014,2024-07-25 16:31:48.270612,112
U009,P001,2024-08-13 16:31:48.270612,14
U005,P006,2024-08-10 16:31:48.270612,21
U013,P018,2024-07-23 16:31:48.270612,38
U001,P015,2024-07-30 16:31:48.270612,45
U008,P016,2024-07-27 16:31:48.270612,6
U003,P003,2024-08-01 16:31:48.270612,43
U019,P016,2024-07-18 16:31:48.270612,23
U020,P005,2024-08-10 16:31:48.270612,117
U007,P019,2024-07-16 16:31:48.270612,27
U001,P001,2024-07-26 16:31:48.270612,56
U008,P019,2024-07-24 16:31:48.270612,23
U015,P020,2024-08-01 16:31:48.270612,9
U007,P008,2024-07-21 16:31:48.270612,92
U018,P006,2024-07-31 16:31:48.270612,78
U004,P001,2024-07-17 16:31:48.270612,7
U009,P019,2024-07-24 16:31:48.270612,86
U002,P017,2024-07-21 16:31:48.270612,23
U018,P007,2024-08-07 16:31:48.270612,46
U005,P007,2024-07-26 16:31:48.270612,4
U017,P004,2024-08-08 16:31:48.270612,54
U013,P012,2024-08-12 16:31:48.270612,88
U010,P003,2024-08-05 16:31:48.270612,45
U015,P015,2024-08-03 16:31:48.270612,104
U010,P014,2024-07-17 16:31:48.270612,56
U020,P014,2024-07-22 16:31:48.270612,73
U018,P009,2024-08-13 16:31:48.270612,51
U014,P002,2024-07-29 16:31:48.270612,51
U004,P013,2024-07-15 16:31:48.270612,36
U004,P012,2024-08-06 16:31:48.270612,59
U008,P001,2024-07-29 16:31:48.270612,15
U019,P016,2024-07-25 16:31:48.270612,56
U013,P005,2024-07-17 16:31:48.270612,74
U007,P014,2024-08-02 16:31:48.270612,78
U018,P020,2024-07-29 16:31:48.270612,71
U019,P013,2024-08-13 16:31:48.270612,23
U005,P015,2024-08-11 16:31:48.270612,36
U009,P016,2024-08-08 16:31:48.270612,3
U009,P013,2024-08-02 16:31:48.270612,111
U010,P006,2024-08-09 16:31:48.270612,45
U014,P003,2024-07-20 16:31:48.270612,45
U008,P013,2024-08-04 16:31:48.270612,70
U005,P002,2024-07-24 16:31:48.270612,53
U002,P003,2024-08-10 16:31:48.270612,65
U006,P020,2024-08-13 16:31:48.270612,115
U012,P012,2024-07-24 16:31:48.270612,117
U002,P008,2024-07-23 16:31:48.270612,20
U003,P013,2024-08-05 16:31:48.270612,108
U008,P019,2024-08-03 16:31:48.271631,72
U011,P018,2024-07-25 16:31:48.271631,98
U003,P014,2024-07-25 16:31:48.271631,53
U003,P019,2024-08-13 16:31:48.271631,49
U015,P017,2024-07-30 16:31:48.271631,117
U010,P006,2024-07-24 16:31:48.271631,42
U010,P008,2024-07-21 16:31:48.271631,65
U020,P004,2024-07-28 16:31:48.271631,105
U013,P011,2024-08-02 16:31:48.271631,66
U010,P011,2024-08-06 16:31:48.271631,26
U014,P007,2024-08-02 16:31:48.271631,75
U003,P006,2024-07-22 16:31:48.271631,73
U019,P007,2024-07-28 16:31:48.271631,55
U018,P016,2024-07-27 16:31:48.271631,13
U007,P001,2024-07-22 16:31:48.271631,80
U013,P008,2024-08-09 16:31:48.271631,63
U012,P008,2024-08-01 16:31:48.271631,67
U020,P004,2024-08-10 16:31:48.271631,71
U019,P020,2024-08-04 16:31:48.271631,93
U019,P010,2024-07-15 16:31:48.271631,107
U001,P019,2024-07-22 16:31:48.271631,13
U017,P004,2024-07-21 16:31:48.271631,42
U017,P017,2024-07-26 16:31:48.271631,60
U019,P012,2024-08-05 16:31:48.271631,26
U018,P019,2024-08-07 16:31:48.271631,17
U019,P004,2024-08-12 16:31:48.271631,66
U005,P015,2024-07-21 16:31:48.271631,31
U002,P007,2024-07-20 16:31:48.271631,51
U001,P017,2024-07-20 16:31:48.271631,52
U019,P009,2024-07-17 16:31:48.271631,74
U010,P020,2024-08-02 16:31:48.271631,110
U017,P020,2024-07-18 16:31:48.271631,104
U004,P009,2024-07-26 16:31:48.271631,116
U001,P020,2024-07-21 16:31:48.271631,120
U017,P002,2024-07-30 16:31:48.271631,103
U011,P004,2024-07-19 16:31:48.271631,80
U012,P016,2024-08-06 16:31:48.271631,25
U004,P014,2024-08-12 16:31:48.271631,30
U003,P003,2024-07-24 16:31:48.271631,31
U013,P009,2024-08-01 16:31:48.271631,93
U002,P008,2024-07-18 16:31:48.271631,80
U016,P020,2024-08-02 16:31:48.271631,90
U007,P016,2024-08-07 16:31:48.271631,54
U009,P004,2024-07-18 16:31:48.271631,119
U015,P012,2024-08-06 16:31:48.271631,69
U002,P015,2024-07-21 16:31:48.271631,18
U016,P007,2024-07-26 16:31:48.271631,120
U008,P016,2024-08-07 16:31:48.271631,90
U019,P017,2024-08-04 16:31:48.271631,100
U007,P014,2024-07-23 16:31:48.271631,96
U015,P018,2024-08-10 16:31:48.271631,78
U006,P008,2024-07-24 16:31:48.271631,79
U018,P005,2024-07-21 16:31:48.271631,83
U013,P006,2024-07-28 16:31:48.271631,56
U016,P011,2024-08-08 16:31:48.271631,26
U005,P012,2024-07-27 16:31:48.271631,4
U016,P020,2024-07-25 16:31:48.271631,18
U003,P001,2024-08-07 16:31:48.271631,58
U015,P017,2024-07-16 16:31:48.271631,22
U017,P019,2024-07-19 16:31:48.271631,4
U013,P017,2024-08-12 16:31:48.271631,71
U005,P012,2024-07-20 16:31:48.271631,97
U003,P015,2024-07-30 16:31:48.271631,57
U019,P004,2024-07-26 16:31:48.271631,2
U014,P002,2024-08-13 16:31:48.271631,103
U011,P018,2024-08-01 16:31:48.271631,75
U005,P005,2024-08-10 16:31:48.271631,63
U003,P011,2024-07-16 16:31:48.271631,60
U017,P007,2024-07-18 16:31:48.271631,70
U009,P018,2024-08-12 16:31:48.271631,20
U001,P016,2024-08-13 16:31:48.271631,48
U019,P018,2024-08-05 16:31:48.271631,47
U020,P004,2024-08-12 16:31:48.271631,72
U001,P009,2024-08-07 16:31:48.271631,75
U019,P012,2024-08-05 16:31:48.271631,3
U002,P014,2024-07-29 16:31:48.271631,109
U012,P015,2024-07-16 16:31:48.271631,77
U019,P013,2024-08-03 16:31:48.271631,6
U020,P005,2024-08-05 16:31:48.271631,89
U006,P013,2024-08-06 16:31:48.271631,108
U011,P007,2024-07-17 16:31:48.271631,102
U004,P011,2024-07-28 16:31:48.271631,23
U011,P012,2024-08-04 16:31:48.271631,20
U012,P013,2024-07-26 16:31:48.271631,63
U006,P004,2024-07-30 16:31:48.271631,7
U020,P002,2024-07-23 16:31:48.271631,16
U008,P011,2024-08-10 16:31:48.271631,82
U013,P004,2024-07-29 16:31:48.271631,39
U014,P013,2024-07-30 16:31:48.271631,117
U017,P016,2024-07-20 16:31:48.271631,1
U016,P020,2024-07-16 16:31:48.271631,4
U010,P010,2024-07-20 16:31:48.271631,36
U007,P009,2024-08-09 16:31:48.271631,115
U006,P018,2024-07-18 16:31:48.271631,5
U003,P020,2024-07-21 16:31:48.271631,55
U006,P020,2024-08-09 16:31:48.271631,93
U006,P001,2024-08-06 16:31:48.271631,61
U011,P005,2024-08-07 16:31:48.271631,68
U012,P020,2024-08-04 16:31:48.271631,62
U004,P008,2024-07-24 16:31:48.271631,100
U005,P010,2024-07-17 16:31:48.271631,111
U016,P020,2024-08-13 16:31:48.271631,49
U019,P015,2024-08-11 16:31:48.271631,83
U004,P005,2024-07-22 16:31:48.271631,28
U005,P002,2024-07-17 16:31:48.271631,92
U008,P017,2024-07-16 16:31:48.271631,99
U009,P009,2024-08-08 16:31:48.271631,10
U004,P002,2024-08-09 16:31:48.271631,91
U011,P012,2024-08-10 16:31:48.271631,26
U006,P016,2024-07-25 16:31:48.271631,67
U011,P012,2024-07-19 16:31:48.271631,59
U020,P009,2024-08-09 16:31:48.271631,38
U011,P004,2024-08-03 16:31:48.271631,80
U015,P002,2024-07-20 16:31:48.271631,75
U007,P004,2024-08-09 16:31:48.271631,33
U006,P016,2024-07-23 16:31:48.271631,81
U007,P009,2024-07-27 16:31:48.271631,23
U011,P008,2024-07-28 16:31:48.271631,65
U016,P010,2024-08-03 16:31:48.271631,79
U015,P019,2024-08-13 16:31:48.271631,103
U005,P020,2024-07-26 16:31:48.271631,76
U012,P007,2024-07-15 16:31:48.271631,74
U009,P009,2024-08-12 16:31:48.271631,85
U009,P020,2024-08-06 16:31:48.271631,103
U020,P002,2024-07-21 16:31:48.271631,74
